classification,sample_count,sample_percent
13203,5,0.31
13105,5,0.31
12302,5,0.31
12506,5,0.31
13301,5,0.31
25201,5,0.31
12403,5,0.31
13508,5,0.31
20603,5,0.31
21201,5,0.31
18601,5,0.31
18606,5,0.31
15502,5,0.31
28301,5,0.31
26101,5,0.31
28101,5,0.31
27101,5,0.31
31501,4,0.25
11201,4,0.25
11501,4,0.25
11401,4,0.25
12511,4,0.25
12601,4,0.25
13305,4,0.25
19403,4,0.25
19106,4,0.25
19204,4,0.25
20502,4,0.25
20106,4,0.25
14502,4,0.25
16403,4,0.25
16501,4,0.25
16302,4,0.25
16103,4,0.25
16401,4,0.25
18906,4,0.25
33101,4,0.25
22201,4,0.25
27201,4,0.25
24703,4,0.25
31301,3,0.19
29101,3,0.19
29203,3,0.19
11904,3,0.19
11503,3,0.19
11601,3,0.19
11101,3,0.19
11802,3,0.19
12203,3,0.19
12202,3,0.19
12301,3,0.19
13304,3,0.19
13603,3,0.19
13601,3,0.19
13306,3,0.19
22102,3,0.19
12104,3,0.19
13509,3,0.19
19101,3,0.19
19105,3,0.19
20105,3,0.19
20104,3,0.19
20102,3,0.19
14101,3,0.19
14303,3,0.19
16801,3,0.19
16804,3,0.19
16304,3,0.19
16301,3,0.19
16402,3,0.19
16102,3,0.19
16104,3,0.19
16702,3,0.19
18401,3,0.19
15102,3,0.19
27301,3,0.19
24801,3,0.19
31303,2,0.13
31401,2,0.13
29102,2,0.13
29301,2,0.13
11903,2,0.13
30105,2,0.13
11205,2,0.13
11603,2,0.13
11604,2,0.13
11602,2,0.13
11703,2,0.13
13104,2,0.13
12204,2,0.13
12205,2,0.13
12306,2,0.13
12304,2,0.13
12510,2,0.13
12504,2,0.13
12505,2,0.13
12508,2,0.13
13303,2,0.13
13506,2,0.13
13403,2,0.13
23301,2,0.13
23106,2,0.13
18701,2,0.13
23305,2,0.13
22202,2,0.13
31102,2,0.13
19405,2,0.13
19501,2,0.13
27303,2,0.13
19104,2,0.13
19102,2,0.13
19103,2,0.13
19601,2,0.13
19201,2,0.13
20103,2,0.13
20601,2,0.13
14201,2,0.13
14304,2,0.13
14301,2,0.13
25102,2,0.13
18706,2,0.13
18602,2,0.13
28302,2,0.13
28303,2,0.13
26301,2,0.13
26201,2,0.13
23201,2,0.13
23202,2,0.13
24404,2,0.13
24503,2,0.13
24601,2,0.13
31304,1,0.06
31502,1,0.06
31101,1,0.06
29401,1,0.06
29505,1,0.06
11902,1,0.06
11901,1,0.06
30104,1,0.06
11209,1,0.06
11208,1,0.06
11202,1,0.06
11504,1,0.06
11502,1,0.06
11302,1,0.06
11103,1,0.06
11605,1,0.06
11801,1,0.06
13204,1,0.06
13202,1,0.06
13205,1,0.06
13103,1,0.06
13102,1,0.06
12303,1,0.06
13604,1,0.06
11905,1,0.06
12501,1,0.06
12502,1,0.06
12509,1,0.06
12512,1,0.06
12503,1,0.06
13307,1,0.06
13511,1,0.06
13504,1,0.06
13406,1,0.06
13402,1,0.06
23303,1,0.06
23302,1,0.06
23107,1,0.06
23101,1,0.06
15505,1,0.06
23103,1,0.06
19402,1,0.06
19406,1,0.06
19407,1,0.06
20301,1,0.06
19301,1,0.06
19303,1,0.06
19304,1,0.06
19305,1,0.06
19503,1,0.06
19802,1,0.06
32103,1,0.06
19203,1,0.06
19208,1,0.06
19205,1,0.06
19701,1,0.06
20101,1,0.06
21301,1,0.06
14102,1,0.06
14501,1,0.06
17201,1,0.06
23503,1,0.06
18905,1,0.06
18502,1,0.06
18605,1,0.06
15302,1,0.06
26401,1,0.06
26202,1,0.06
26102,1,0.06
27204,1,0.06
24001,1,0.06
24803,1,0.06
