Dataset Exploration: AFCD Release 3 - sheet2.csv
=======================================================

Rows / samples: 1588
Feature count: 266
Number of classifications: 276
Missing Classification labels: 0

Feature list summary
--------------------
                                            feature    min       max        mean         std  missing_values
                               Moisture (water) (g)   0.00   100.000   56.406675   30.727426               0
                                        Protein (g)   0.00    85.000   11.044584   10.926467               0
                                       Nitrogen (g)   0.00    15.200    1.789603    1.765790               0
                                     Fat, total (g)   0.00   100.000    9.968262   18.222616               0
                                            Ash (g)   0.00    99.800    1.895340    5.157892               0
                            Total dietary fibre (g)   0.00    88.700    2.935957    6.212686               0
                                        Alcohol (g)   0.00    34.400    0.189295    1.663864               0
                                       Fructose (g)   0.00    40.000    1.252643    3.569640             226
                                        Glucose (g)   0.00    37.000    1.262464    3.441817             208
                                        Sucrose (g)   0.00   100.000    3.432055   10.969466             206
                                        Maltose (g)   0.00    14.000    0.240699    0.869147             244
                                        Lactose (g)   0.00    56.000    0.460876    2.876611             218
                                      Galactose (g)   0.00     2.200    0.052532    0.276857            1430
                                   Total sugars (g)   0.00   100.000    6.685076   13.991115               0
                                   Added sugars (g)   0.00   100.000    3.712406   12.133396               0
                                    Free sugars (g)   0.00   100.000    3.933879   12.327744               0
                                         Starch (g)   0.00    85.500    9.669836   18.030648               0
                                        Dextrin (g)   0.00     2.000    1.114286    0.864925            1581
                                       Glycerol (g)   2.00     2.000    2.000000         NaN            1587
                                       Glycogen (g)   1.20     4.700    2.100000    1.235921            1579
                                         Inulin (g)   0.10     4.800    1.754000    1.407880            1538
                                     Erythritol (g)   3.80     3.800    3.800000         NaN            1587
                                       Maltitol (g)  28.00    28.000   28.000000         NaN            1587
                                       Mannitol (g)   0.00     2.400    0.864706    0.852893            1571
                                        Xylitol (g)   3.60     3.600    3.600000         NaN            1587
                                   Maltodextrin (g)   0.00    43.500   11.028571   13.046746            1574
                               Oligosaccharides (g)   5.40     8.000    6.700000    1.838478            1586
                                   Polydextrose (g)   3.40     3.400    3.400000         NaN            1587
                                      Raffinose (g)   0.00     8.100    1.576190    2.583390            1567
                                      Stachyose (g)   0.00     0.700    0.212500    0.215639            1572
                                       Sorbitol (g)   0.00    12.700    0.747778    1.869160            1498
                               Resistant starch (g)   0.10     4.300    1.008696    0.750388            1473
 Available carbohydrate, without sugar alcohols (g)   0.00   100.000   16.521474   23.114765               0
    Available carbohydrate, with sugar alcohols (g)   0.00   100.000   16.591940   23.127575               0
                                    Acetic acid (g)   0.00     4.300    0.151362    0.493877            1331
                                    Citric acid (g)   0.00     5.400    0.297645    0.610327            1036
                                   Fumaric acid (g)   1.10     1.100    1.100000         NaN            1587
                                    Lactic acid (g)   0.00     2.500    0.108484    0.336695            1034
                                     Malic acid (g)   0.00     2.000    0.165265    0.229189            1041
                                    Oxalic acid (g)   0.00     0.600    0.011525    0.066004            1293
                                 Propionic acid (g)   0.00     3.000    0.064706    0.363157            1418
                                    Quinic acid (g)   0.00     1.800    0.013372    0.099100            1072
                                  Shikimic acid (g)   0.00     0.000    0.000000    0.000000            1586
                                  Succinic acid (g)   0.00     0.200    0.071429    0.078376            1567
                                  Tartaric acid (g)   0.00     0.600    0.147500    0.161702            1548
                                Aluminium (Al) (ug)   0.00  7000.000  212.026582  625.195531            1114
                                 Antimony (Sb) (ug)   0.00     2.900    0.200000    0.474552            1437
                                  Arsenic (As) (ug)   0.00  1500.000    6.186596   64.314501            1021
                                  Cadmium (Cd) (ug)   0.00   290.000    2.070046   14.634155            1154
                                  Calcium (Ca) (mg)   0.00  1890.000   61.019521  149.381646               0
