classification,feature,min,max,range,missing_values
11101,Moisture (water) (g),95.7,99.8,4.099999999999994,0
11101,Protein (g),0.1,0.2,0.1,0
11101,Nitrogen (g),0.01,0.04,0.03,0
11101,"Fat, total (g)",0.0,0.0,0.0,0
11101,Ash (g),0.0,0.0,0.0,0
11101,Total dietary fibre (g),0.0,0.0,0.0,0
11101,Alcohol (g),0.0,0.0,0.0,0
11101,Fructose (g),,,,3
11101,Glucose (g),,,,3
11101,Sucrose (g),,,,3
11101,Maltose (g),,,,3
11101,Lactose (g),,,,3
11101,Galactose (g),,,,3
11101,Total sugars (g),0.0,0.0,0.0,0
11101,Added sugars (g),0.0,0.0,0.0,0
11101,Free sugars (g),0.0,0.0,0.0,0
11101,Starch (g),0.0,0.0,0.0,0
11101,Dextrin (g),,,,3
11101,Glycerol (g),,,,3
11101,Glycogen (g),,,,3
11101,Inulin (g),,,,3
11101,Erythritol (g),,,,3
11101,Maltitol (g),,,,3
11101,Mannitol (g),,,,3
11101,Xylitol (g),,,,3
11101,Maltodextrin (g),,,,3
11101,Oligosaccharides (g),,,,3
11101,Polydextrose (g),,,,3
11101,Raffinose (g),,,,3
11101,Stachyose (g),,,,3
11101,Sorbitol (g),,,,3
11101,Resistant starch (g),,,,3
11101,"Available carbohydrate, without sugar alcohols (g)",0.0,0.0,0.0,0
11101,"Available carbohydrate, with sugar alcohols (g)",0.0,0.0,0.0,0
11101,Acetic acid (g),,,,3
11101,Citric acid (g),,,,3
11101,Fumaric acid (g),,,,3
11101,Lactic acid (g),,,,3
11101,Malic acid (g),,,,3
11101,Oxalic acid (g),,,,3
11101,Propionic acid (g),,,,3
11101,Quinic acid (g),,,,3
11101,Shikimic acid (g),,,,3
11101,Succinic acid (g),,,,3
11101,Tartaric acid (g),,,,3
11101,Aluminium (Al) (ug),480.0,780.0,300.0,0
11101,Antimony (Sb) (ug),0.0,0.0,0.0,1
11101,Arsenic (As) (ug),0.0,0.0,0.0,0
11101,Cadmium (Cd) (ug),0.0,0.0,0.0,0
11101,Calcium (Ca) (mg),1.0,3.0,2.0,0
11101,Chromium (Cr) (ug),0.0,0.3,0.3,0
11101,Chloride (Cl) (mg),0.0,0.0,0.0,1
11101,Cobalt (Co) (ug),,,,3
11101,Copper (Cu) (mg),0.006,0.017,0.011000000000000001,0
11101,Fluoride (F) (ug),150.0,150.0,0.0,1
11101,Iodine (I) (ug),0.0,0.0,0.0,0
11101,Iron (Fe) (mg),0.0,0.0,0.0,0
11101,Lead (Pb) (ug),0.2,1.8,1.6,0
11101,Magnesium (Mg) (mg),1.0,2.0,1.0,0
11101,Manganese (Mn) (mg),0.29,0.44,0.15000000000000002,0
11101,Mercury (Hg) (ug),0.0,0.0,0.0,1
11101,Molybdenum (Mo) (ug),0.0,0.0,0.0,0
11101,Nickel (Ni) (ug),,,,3
11101,Phosphorus (P) (mg),1.0,2.0,1.0,0
11101,Potassium (K) (mg),17.0,19.0,2.0,0
11101,Selenium (Se) (ug),0.0,0.0,0.0,0
11101,Sodium (Na) (mg),0.0,1.0,1.0,0
11101,Sulphur (S) (mg),0.0,0.0,0.0,1
11101,Tin (Sn) (ug),0.0,0.0,0.0,1
11101,Zinc (Zn) (mg),0.01,0.05,0.04,0
11101,Retinol (preformed vitamin A) (ug),0.0,0.0,0.0,0
11101,Alpha-carotene (ug),,,,3
11101,Beta-carotene (ug),0.0,0.0,0.0,0
11101,Cryptoxanthin (ug),,,,3
11101,Beta-carotene equivalents (provitamin A) (ug),0.0,0.0,0.0,0
11101,Vitamin A retinol equivalents (ug),0.0,0.0,0.0,0
11101,Lutein (ug),,,,3
11101,Lycopene (ug),,,,3
11101,Xanthophyl (ug),,,,3
11101,Thiamin (B1) (mg),0.0,0.007,0.007,0
