feature,min,max,mean,std,missing_values,missing_percent
Moisture (water) (g),0.0,100.0,56.406675062972305,30.727425658759245,0,0.0
Protein (g),0.0,85.0,11.044584382871536,10.926467389747433,0,0.0
Nitrogen (g),0.0,15.2,1.7896032745591937,1.7657900566883058,0,0.0
"Fat, total (g)",0.0,100.0,9.968261964735516,18.22261556309403,0,0.0
Ash (g),0.0,99.8,1.8953400503778335,5.157891740457922,0,0.0
Total dietary fibre (g),0.0,88.7,2.93595717884131,6.212685806536685,0,0.0
Alcohol (g),0.0,34.4,0.18929471032745593,1.6638636814337229,0,0.0
Fructose (g),0.0,40.0,1.2526431718061672,3.569640486035751,226,14.23
Glucose (g),0.0,37.0,1.2624637681159419,3.441816773147443,208,13.1
Sucrose (g),0.0,100.0,3.4320549927641104,10.969465551476322,206,12.97
Maltose (g),0.0,14.0,0.24069940476190477,0.8691467313550173,244,15.37
Lactose (g),0.0,56.0,0.4608759124087591,2.876610667561453,218,13.73
Galactose (g),0.0,2.2,0.052531645569620256,0.2768566432343774,1430,90.05
Total sugars (g),0.0,100.0,6.685075566750631,13.991114659249803,0,0.0
Added sugars (g),0.0,100.0,3.7124055415617137,12.133395971507975,0,0.0
Free sugars (g),0.0,100.0,3.9338790931989926,12.327743857780852,0,0.0
Starch (g),0.0,85.5,9.669836272040303,18.030647527383206,0,0.0
Dextrin (g),0.0,2.0,1.1142857142857143,0.864924989866311,1581,99.56
Glycerol (g),2.0,2.0,2.0,,1587,99.94
Glycogen (g),1.2,4.7,2.0999999999999996,1.2359207094308275,1579,99.43
Inulin (g),0.1,4.8,1.754,1.4078801549181112,1538,96.85
Erythritol (g),3.8,3.8,3.8,,1587,99.94
Maltitol (g),28.0,28.0,28.0,,1587,99.94
Mannitol (g),0.0,2.4,0.8647058823529411,0.8528930006678652,1571,98.93
Xylitol (g),3.6,3.6,3.6,,1587,99.94
Maltodextrin (g),0.0,43.5,11.028571428571428,13.046746047102413,1574,99.12
Oligosaccharides (g),5.4,8.0,6.7,1.8384776310850233,1586,99.87
Polydextrose (g),3.4,3.4,3.4,,1587,99.94
Raffinose (g),0.0,8.1,1.576190476190476,2.583390168345611,1567,98.68
Stachyose (g),0.0,0.7,0.2125,0.21563858652847823,1572,98.99
Sorbitol (g),0.0,12.7,0.7477777777777778,1.8691599854442684,1498,94.33
Resistant starch (g),0.1,4.3,1.008695652173913,0.7503876445452669,1473,92.76
"Available carbohydrate, without sugar alcohols (g)",0.0,100.0,16.52147355163728,23.11476473879816,0,0.0
"Available carbohydrate, with sugar alcohols (g)",0.0,100.0,16.591939546599495,23.127574695493905,0,0.0
Acetic acid (g),0.0,4.3,0.15136186770428015,0.49387665838395123,1331,83.82
Citric acid (g),0.0,5.4,0.2976449275362319,0.6103269458026341,1036,65.24
Fumaric acid (g),1.1,1.1,1.1,,1587,99.94
Lactic acid (g),0.0,2.5,0.10848375451263538,0.33669526349346557,1034,65.11
Malic acid (g),0.0,2.0,0.16526508226691042,0.22918887296900906,1041,65.55
Oxalic acid (g),0.0,0.6,0.01152542372881356,0.06600385371458992,1293,81.42
Propionic acid (g),0.0,3.0,0.06470588235294118,0.36315705841635404,1418,89.29
Quinic acid (g),0.0,1.8,0.013372093023255816,0.09910015095204217,1072,67.51
Shikimic acid (g),0.0,0.0,0.0,0.0,1586,99.87
Succinic acid (g),0.0,0.2,0.07142857142857144,0.07837638128197258,1567,98.68
Tartaric acid (g),0.0,0.6,0.1475,0.1617016879857347,1548,97.48
Aluminium (Al) (ug),0.0,7000.0,212.02658227848102,625.1955310294222,1114,70.15
Antimony (Sb) (ug),0.0,2.9,0.2,0.4745524207081869,1437,90.49
Arsenic (As) (ug),0.0,1500.0,6.186596119929454,64.31450108412993,1021,64.29
Cadmium (Cd) (ug),0.0,290.0,2.070046082949309,14.634155261880283,1154,72.67
Calcium (Ca) (mg),0.0,1890.0,61.019521410579344,149.38164584449035,0,0.0
Chromium (Cr) (ug),0.0,392.5,8.354421768707482,31.09741051326939,1147,72.23
Chloride (Cl) (mg),0.0,61200.0,651.1721739130435,4008.510484339178,1013,63.79
Cobalt (Co) (ug),0.0,1.0,0.10714285714285714,0.314970394174356,1560,98.24
Copper (Cu) (mg),0.0,8.7,0.1766365834004835,0.44845538590192724,347,21.85
Fluoride (F) (ug),0.0,6500.0,72.14427561837455,316.94744423623524,1022,64.36
Iodine (I) (ug),0.0,4400.0,13.819080604534005,125.60606167533857,0,0.0
Iron (Fe) (mg),0.0,123.6,1.8664609571788413,4.918247872613876,0,0.0
Lead (Pb) (ug),0.0,13.9,0.7230769230769232,1.7563986960283429,1055,66.44
Magnesium (Mg) (mg),0.0,670.0,38.0654911838791,60.738363719273984,0,0.0
Manganese (Mn) (mg),0.0,33.5,0.5239752270850536,1.6369474537467428,377,23.74
Mercury (Hg) (ug),0.0,59.6,1.6244094488188976,6.256142803069675,1334,84.01
Molybdenum (Mo) (ug),0.0,180.0,10.759879336349925,19.703712932051186,925,58.25
Nickel (Ni) (ug),0.0,325.0,14.464285714285714,37.835122262489826,1364,85.89
Phosphorus (P) (mg),0.0,2000.0,157.03148614609572,164.31449402364413,0,0.0
Potassium (K) (mg),0.0,50009.0,349.801637279597,1364.9616345212874,0,0.0
Selenium (Se) (ug),0.0,1917.0,11.323614609571788,50.12985710825287,0,0.0
Sodium (Na) (mg),0.0,38178.0,299.70088161209065,1700.3623452602112,0,0.0
Sulphur (S) (mg),0.0,1900.0,132.01121076233184,158.72993773218505,1142,71.91
Tin (Sn) (ug),0.0,1550.0,25.0953488372093,192.13842172558222,1459,91.88
Zinc (Zn) (mg),0.0,20.25,1.5014546599496221,2.043339023892761,0,0.0
Retinol (preformed vitamin A) (ug),0.0,31000.0,54.9212846347607,880.0564623436263,0,0.0
Alpha-carotene (ug),0.0,4956.0,38.33202357563851,355.99276861175946,570,35.89
Beta-carotene (ug),0.0,26162.0,202.26070528967256,1060.4915185480834,0,0.0
Cryptoxanthin (ug),0.0,3275.0,33.58767772511848,229.06693120169942,744,46.85
Beta-carotene equivalents (provitamin A) (ug),0.0,26162.0,224.44080604534005,1155.1555108351579,0,0.0
Vitamin A retinol equivalents (ug),0.0,31007.0,92.32745591939546,899.4739237242725,0,0.0
Lutein (ug),0.0,6100.0,609.8484848484849,1117.1701646078704,1522,95.84
Lycopene (ug),0.0,6800.0,1183.8709677419354,2378.2163588417193,1557,98.05
Xanthophyl (ug),0.0,2070.0,699.8181818181819,761.2702303626246,1577,99.31
Thiamin (B1) (mg),0.0,22.778,0.16207808564231738,0.6744862304437433,0,0.0
Riboflavin (B2) (mg),0.0,17.111,0.1407903022670025,0.5300371205810583,0,0.0
Niacin (B3) (mg),0.0,124.0,2.5113727959697734,4.620590120394098,0,0.0
Niacin derived from tryptophan (mg),0.0,13.52,1.9322103274559197,1.920811163871419,0,0.0
Niacin derived equivalents (mg),0.0,128.5,4.490623425692695,5.801083198658865,0,0.0
Pantothenic acid (B5) (mg),0.0,7.0,0.4678740157480315,0.6240640739129149,572,36.02
Pyridoxine (B6) (mg),0.0,3.0,0.17765113350125947,0.2910876749111284,0,0.0
Biotin (B7) (ug),0.0,200.0,5.521323529411766,14.671426022140063,1044,65.74
Cobalamin (B12) (ug),0.0,76.5,0.6886649874055415,2.593634781502465,0,0.0
"Folate, natural (ug)",0.0,2340.0,35.46221662468514,100.0039530819082,0,0.0
Folic acid (ug),0.0,2354.0,10.408060453400504,85.9213660553533,0,0.0
Total folates (ug),0.0,2454.0,45.87090680100756,132.62298933631547,0,0.0
Dietary folate equivalents (ug),0.0,4031.0,52.84508816120907,175.88130394117414,0,0.0
Vitamin C (mg),0.0,347.0,7.396725440806045,23.951406157997564,0,0.0
Cholecalciferol (D3) (ug),0.0,19.25,0.3948299748110831,1.4922665282593033,0,0.0
Ergocalciferol (D2) (ug),0.0,43.18,0.08440806045340052,1.2704510369008566,0,0.0
25-hydroxy cholecalciferol (25-OH D3) (ug),0.0,2.44,0.06651133501259446,0.18906307778745068,0,0.0
25-hydroxy ergocalciferol (25-OH D2) (ug),0.0,0.13,0.0024874055415617124,0.009025440068928876,0,0.0
Vitamin D3 equivalents (ug),0.0,38.86,0.8223677581863981,2.235068286205316,0,0.0
Alpha tocopherol (mg),0.0,56.0,1.226007556675063,3.73602296623397,0,0.0
Alpha tocotrienol (mg),0.0,2.5,0.28421052631578947,0.6103397577440297,1569,98.8
Beta tocopherol (mg),0.0,10.2,0.05266497461928934,0.5258796751381244,800,50.38
Beta tocotrienol (mg),0.0,1.1,0.2473684210526316,0.30617428053068,1569,98.8
Delta tocopherol (mg),0.0,29.0,0.10932311621966795,1.4552585400815563,805,50.69
Delta tocotrienol (mg),0.0,0.0,0.0,0.0,1579,99.43
Gamma tocopherol (mg),0.0,53.0,1.1131935881627621,4.538274652931477,777,48.93
Gamma tocotrienol (mg),0.0,0.0,0.0,0.0,1577,99.31
Vitamin E (mg),0.0,56.1,1.3012972292191436,3.886832223129108,0,0.0
C4 (%T),0.0,7.5,0.45990016638935116,1.2170206749887087,987,62.15
C6 (%T),0.0,7.8,0.33762214983713357,0.8269531019669696,974,61.34
C8 (%T),0.0,11.5,0.5226837060702876,1.4923259115213685,962,60.58
C10 (%T),0.0,16.6,0.668030303030303,1.5625042346013343,928,58.44
C11 (%T),0.0,0.1,0.02121212121212121,0.04151487502672805,1555,97.92
C12 (%T),0.0,53.2,2.515080527086384,8.33611148251576,905,56.99
C13 (%T),0.0,0.1,0.006299212598425198,0.024391097439346865,1461,92.0
C14 (%T),0.0,25.0,2.9136662286465174,4.10251172602033,827,52.08
C15 (%T),0.0,6.6,0.3408967391304348,0.5220824447523628,852,53.65
C16 (%T),0.0,44.4,16.845494505494504,10.892853327093885,678,42.7
C17 (%T),0.0,3.1,0.4622311827956989,0.5454185746594308,844,53.15
C18 (%T),0.0,36.7,8.154914809960683,6.043228903220748,825,51.95
C19 (%T),0.0,0.6,0.03908045977011494,0.10382937909174288,1501,94.52
C20 (%T),0.0,3.7,0.2801186943620178,0.4037226301764234,914,57.56
C21 (%T),0.0,0.3,0.028124999999999997,0.07718588789618593,1556,97.98
C22 (%T),0.0,3.5,0.17493224932249327,0.40079000448701013,850,53.53
C23 (%T),0.0,0.0,0.0,0.0,1559,98.17
C24 (%T),0.0,6.6,0.1501492537313433,0.44428775246171714,918,57.81
"Total saturated fatty acids, equated (%T)",0.0,98.2,25.983731853116993,23.100670793379663,417,26.26
C12:1 (%T),0.0,0.2,0.017391304347826087,0.04910261901035311,1565,98.55
C14:1 (%T),0.0,1.8,0.21563380281690145,0.3542139329279688,878,55.29
C15:1 (%T),0.0,0.4,0.031279620853080566,0.08601092129905775,1377,86.71
C16:1 (%T),0.0,17.4,1.9222074468085106,2.4360418266406825,836,52.64
C17:1 (%T),0.0,2.0,0.09915110356536504,0.25511627185049507,999,62.91
C18:1 (%T),0.0,82.8,26.987250554323726,18.436677583949045,686,43.2
C18:1w7 (%T),1.8,1.8,1.8,0.0,1586,99.87
C20:1 (%T),0.0,12.3,0.5973293768545994,1.203780074545478,914,57.56
C20:1w11 (%T),0.1,0.1,0.1,0.0,1586,99.87
C22:1 (%T),0.0,34.3,0.19036144578313255,1.7593097822395802,924,58.19
C22:1w11 (%T),0.0,0.0,0.0,0.0,1504,94.71
C24:1 (%T),0.0,1.6,0.05483304042179263,0.17587412041102649,1019,64.17
"Total monounsaturated fatty acids, equated (%T)",0.0,84.3,25.522792485055508,20.87427099435546,417,26.26
C12:2 (%T),0.0,0.0,0.0,,1587,99.94
C16:2w4 (%T),0.0,0.6,0.14400000000000002,0.14742229591663986,1563,98.43
C16:3 (%T),0.0,0.0,0.0,0.0,1565,98.55
C18:2w6 (%T),0.0,75.6,14.116823228010247,18.078783867805114,417,26.26
C18:3w3 (%T),0.0,65.9,2.487190435525192,6.502936079584075,417,26.26
C18:3w4 (%T),0.0,0.3,0.06956521739130435,0.09261249968991352,1565,98.55
C18:3w6 (%T),0.0,4.1,0.0879934210526316,0.3246144639472541,980,61.71
C18:4w1 (%T),0.0,1.2,0.18000000000000005,0.26925824035672524,1563,98.43
C18:4w3 (%T),0.0,3.8,0.2586734693877551,0.5813126397547802,1392,87.66
C20:2 (%T),0.1,1.3,0.5086956521739131,0.34366083105064354,1565,98.55
C20:2w6 (%T),0.0,0.9,0.08375796178343949,0.14992997413939724,960,60.45
C20:4 (%T),0.0,0.0,0.0,0.0,1585,99.81
C20:3w3 (%T),0.0,1.7,0.028504672897196263,0.13235161229128223,946,59.57
C20:3w6 (%T),0.0,1.4,0.1075657894736842,0.22535053188632923,980,61.71
C20:4w3 (%T),0.0,1.2,0.3607142857142857,0.31191082024892913,1560,98.24
C20:4w6 (%T),0.0,16.9,0.833424283765348,1.865055085346464,855,53.84
C20:5w3 (%T),0.0,51.1,0.5513236549957302,2.5184083713870633,417,26.26
