Classification,Food Name,Moisture (water) (mg),Protein (mg),"Fat, total (mg)",Ash (mg),Total dietary fibre (mg),"Available carbohydrate, without sugar alcohols (mg)",Total sugars (mg),Starch (mg),Sodium (Na) (mg),Potassium (K) (mg),Calcium (Ca) (mg),Phosphorus (P) (mg),Magnesium (Mg) (mg),Iron (Fe) (mg),Zinc (Zn) (mg),Cholesterol (mg),Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Vitamin C (mg)
31302,"Cardamom seed, dried, ground",8300.0,10800.0,6700.0,5800.0,28000.0,34400.0,4400.0,30000.0,18,1119,383,178,229,13.97,7.47,0,0.198,0.182,1.1,21
31302,"Cinnamon, dried, ground",10600.0,4000.0,1200.0,3600.0,53100.0,27500.0,2200.0,25300.0,10,431,1002,64,60,8.32,1.83,0,0.022,0.041,1.33,4
31302,"Chilli (chili), dried, ground",10800.0,12300.0,14300.0,8500.0,34200.0,12900.0,7200.0,5700.0,68,1920,278,303,170,14.3,2.7,0,0.35,0.79,10.0,64
31302,"Cloves, dried, ground",9900.0,6000.0,13000.0,5600.0,33900.0,31600.0,2400.0,29200.0,277,1020,632,104,259,11.83,2.32,0,0.216,0.22,1.56,0
31302,"Coriander seed, dried, ground",8900.0,12400.0,17800.0,6000.0,41900.0,8400.0,2400.0,6100.0,35,1267,709,409,330,16.32,4.7,0,0.239,0.29,2.13,21
31302,"Cumin (cummin) seed, dried, ground",8100.0,17800.0,22300.0,7600.0,10500.0,33700.0,2200.0,31500.0,168,1788,931,499,366,66.36,4.8,0,0.628,0.327,4.58,8
31302,Curry powder,8800.0,14300.0,14000.0,7100.0,53200.0,2800.0,2800.0,0.0,52,1170,525,367,255,19.1,4.7,0,0.176,0.2,3.26,1
31302,"Fenugreek seed, dried",8800.0,23000.0,6400.0,3400.0,47600.0,4200.0,600.0,3700.0,67,770,176,296,191,33.53,2.5,0,0.322,0.366,1.64,3
31302,"Ginger, dried, ground",9900.0,9000.0,4200.0,5200.0,14100.0,57500.0,3400.0,54100.0,27,1320,114,168,214,19.8,3.64,0,0.046,0.17,9.62,1
31302,Mustard powder,4300.0,29400.0,39500.0,3400.0,5000.0,17200.0,5000.0,12200.0,3,650,160,730,310,7.0,4.9,0,1.3,0.0,6.5,7
31302,"Nutmeg, dried, ground",6200.0,5800.0,36300.0,2300.0,20800.0,28500.0,3000.0,25500.0,16,350,184,213,183,3.04,2.15,0,0.346,0.057,1.3,3
31302,"Oregano, dried",9900.0,9000.0,4300.0,7900.0,42500.0,26400.0,4100.0,22300.0,25,1260,1597,148,270,36.8,2.69,0,0.177,0.528,4.64,2
31302,"Paprika, dry powder",11200.0,14100.0,12900.0,7700.0,34900.0,19100.0,10300.0,8800.0,68,2280,229,314,178,21.14,4.33,0,0.33,1.23,10.06,1
31302,"Pepper, black, ground",12500.0,10400.0,3300.0,4500.0,25300.0,38600.0,600.0,38000.0,20,1329,443,158,171,9.71,1.19,0,0.108,0.18,1.14,0
31302,"Rosemary, dried",9300.0,4900.0,15200.0,6500.0,42600.0,20400.0,19600.0,800.0,50,955,1280,70,220,29.25,3.23,0,0.514,0.428,1.0,61
31302,"Sage, dried",8000.0,10600.0,12800.0,8000.0,40300.0,20400.0,1700.0,18700.0,11,1070,1652,91,428,28.12,4.7,0,0.754,0.336,5.72,32
31302,"Thyme, dried, ground",7800.0,9100.0,7400.0,11700.0,37000.0,26900.0,1700.0,25200.0,55,814,1890,201,220,123.6,6.18,0,0.513,0.399,4.94,50
31302,"Turmeric, dried, ground",12800.0,9700.0,3200.0,7100.0,22700.0,44400.0,3200.0,41200.0,27,2080,168,299,208,55.0,4.5,0,0.058,0.15,1.35,1
29201,"Wine, red",85900.0,200.0,0.0,300.0,0.0,200.0,200.0,0.0,5,111,7,32,14,0.17,0.08,0,0.0,0.0,0.0,0
29201,"Wine, red, cabernet sauvignon",86100.0,300.0,0.0,300.0,0.0,200.0,200.0,0.0,4,117,7,35,13,0.15,0.07,0,0.0,0.0,0.0,0
29201,"Wine, red, merlot",86300.0,300.0,0.0,200.0,0.0,400.0,400.0,0.0,5,91,7,26,12,0.17,0.07,0,0.0,0.0,0.0,0
29201,"Wine, red, pinot noir",86900.0,200.0,0.0,300.0,0.0,200.0,200.0,0.0,2,91,7,32,16,0.17,0.1,0,0.0,0.0,0.0,0
29201,"Wine, red, shiraz",85500.0,200.0,0.0,300.0,0.0,200.0,200.0,0.0,7,115,6,32,15,0.18,0.09,0,0.0,0.0,0.0,0
29201,"Wine, red, sparkling",85500.0,200.0,0.0,300.0,0.0,2000.0,2000.0,0.0,7,117,6,33,15,0.18,0.09,0,0.0,0.0,0.0,0
29201,"Wine, red, cooked",93200.0,300.0,0.0,300.0,0.0,200.0,200.0,0.0,5,113,8,34,15,0.0,0.09,0,0.0,0.0,0.0,0
29201,"Wine, rose",88200.0,200.0,0.0,200.0,0.0,700.0,700.0,0.0,5,51,8,27,11,0.08,0.06,0,0.0,0.0,0.0,0
29202,"Wine, white, sauvignon blanc",88300.0,200.0,0.0,200.0,0.0,100.0,100.0,0.0,2,56,8,18,8,0.09,0.06,0,0.0,0.0,0.0,0
29202,"Wine, white, semillon",89200.0,200.0,0.0,200.0,0.0,200.0,200.0,0.0,6,57,9,25,8,0.21,0.08,0,0.0,0.0,0.0,6
29202,"Wine, white, chardonnay",87700.0,300.0,0.0,100.0,0.0,300.0,300.0,0.0,4,52,7,25,11,0.17,0.1,0,0.0,0.0,0.0,0
29202,"Wine, white, riesling",88500.0,200.0,0.0,100.0,0.0,400.0,400.0,0.0,7,44,10,22,20,0.1,0.08,0,0.0,0.0,0.0,0
29202,"Wine, white",88100.0,300.0,0.0,100.0,0.0,200.0,200.0,0.0,4,53,8,23,10,0.16,0.08,0,0.0,0.0,0.0,1
29202,"Wine, white, cooked",94600.0,200.0,0.0,200.0,0.0,300.0,300.0,0.0,5,56,9,25,12,0.15,0.08,0,0.0,0.0,0.0,0
29202,"Wine, white, sparkling",88300.0,200.0,0.0,100.0,0.0,1000.0,1000.0,0.0,2,35,7,20,9,0.19,0.06,0,0.0,0.0,0.0,0
29202,"Wine, white, sweet dessert style",71200.0,400.0,0.0,400.0,0.0,14700.0,14700.0,0.0,13,101,15,48,19,0.19,0.09,0,0.0,0.0,0.0,0
11301,"Juice, apple, commercial, added vitamin C",89000.0,200.0,0.0,300.0,200.0,7000.0,7000.0,0.0,6,120,6,7,6,0.05,0.02,0,0.0,0.07,0.25,31
11301,"Juice, apple & blackcurrant, commercial",89200.0,200.0,0.0,200.0,0.0,9300.0,9300.0,0.0,6,94,5,5,4,0.0,0.01,0,0.0,0.0,0.0,27
11301,"Juice, lemon",89400.0,600.0,100.0,300.0,2000.0,1800.0,1800.0,0.0,3,140,20,20,9,0.15,0.1,0,0.028,0.01,0.1,35
11301,"Juice, lime",88100.0,800.0,100.0,400.0,3600.0,1200.0,1200.0,0.0,2,165,23,21,11,0.15,0.08,0,0.024,0.01,0.1,31
11301,"Juice, orange, commercial",89000.0,800.0,0.0,500.0,300.0,6800.0,6800.0,0.0,2,145,7,14,7,0.04,0.03,0,0.084,0.0,0.0,56
11301,"Juice, orange & mango, commercial",90300.0,600.0,0.0,300.0,200.0,7700.0,7700.0,0.0,4,160,9,16,9,0.0,0.04,0,0.04,0.0,0.0,82
13201,"Biscuit, savoury, from white wheat flour, flaky cracker style",3500.0,11500.0,20700.0,1500.0,3000.0,63600.0,3600.0,60000.0,639,166,35,155,30,1.75,0.84,7,0.15,0.08,2.1,0
13201,"Biscuit, savoury, from white wheat flour, plain snack cracker style",2500.0,8100.0,20700.0,2300.0,3400.0,66300.0,6700.0,59600.0,609,156,41,198,24,1.12,0.81,1,0.175,0.04,0.4,6
13201,"Biscuit, savoury, from white wheat flour, Salada style",3500.0,9200.0,14200.0,2800.0,3600.0,63100.0,1200.0,61900.0,830,170,152,120,33,2.97,0.91,16,0.2,0.05,1.7,0
